SID,Total Time,Total Time
1057989,3089,03:29
1243719,618,10:18
1180703,110,01:50
1242608,109,01:49
1043076,628,10:28
1172312,144,02:24
1118812,375,06:15
1240147,1007,16:47
1179700,132,02:12
1167901,297,04:57
1249248,110,01:50
1243880,279,04:39
1083710,140,02:20
1245824,109,01:49
1248323,60,01:00
1174499,60,01:00
