Location,SID,in_out,Timestamp,Program
LLRC,1043076,OUT,3/23/2022 12:04,Math Lab: 540
LLRC,1174472,IN,3/23/2022 14:47,Math Lab: 540
LLRC,1243719,IN,3/24/2022 10:47,Math Lab: 540
LLRC,1243719,OUT,3/24/2022 11:43,Math Lab: 540
LLRC,1174472,IN,3/28/2022 8:57,Math Lab: 540
LLRC,1240147,IN,3/28/2022 10:57,Math Lab: 540
LLRC,1240147,OUT,3/28/2022 12:45,Math Lab: 540
LLRC,1057898,IN,3/29/2022 10:18,Math Lab: 540
LLRC,1057989,IN,3/29/2022 11:25,Math Lab: 540
LLRC,1057989,OUT,3/29/2022 11:26,Math Lab: 540
LLRC,1057989,IN,3/29/2022 11:53,Math Lab: 540
LLRC,1248323,IN,3/29/2022 12:16,Math Lab: 540
LLRC,1057989,OUT,3/29/2022 13:32,Math Lab: 540
LLRC,1248323,OUT,3/29/2022 15:41,Math Lab: 540
LLRC,1240147,IN,3/30/2022 11:03,Math Lab: 540
LLRC,1174499,IN,3/30/2022 13:32,Math Lab: 540
LLRC,1240147,OUT,3/30/2022 14:41,Math Lab: 540
LLRC,1168422,IN,3/30/2022 14:46,Math Lab: 540
LLRC,1174499,OUT,3/30/2022 15:00,Math Lab: 540
LLRC,1043076,IN,3/30/2022 15:28,Math Lab: 540
LLRC,1113203,IN,3/30/2022 15:35,Math Lab: 540
LLRC,1043076,OUT,3/30/2022 16:44,Math Lab: 540
LLRC,1248323,IN,3/31/2022 12:16,Math Lab: 540
LLRC,1118812,IN,3/31/2022 12:22,Math Lab: 540
LLRC,1248323,OUT,3/31/2022 15:10,Math Lab: 540
LLRC,1240147,OUT,3/16/2022 12:41,Other
LLRC,1240147,IN,3/18/2022 13:40,Other
LLRC,1245290,IN,3/9/2022 11:52,Peer-Tutor Math Tutor: EDU 500
LLRC,1245290,IN,3/10/2022 11:02,Peer-Tutor Math Tutor: EDU 500
LLRC,1172305,IN,3/14/2022 14:21,Peer-Tutor Math Tutor: EDU 500
LLRC,1245290,IN,3/15/2022 10:06,Peer-Tutor Math Tutor: EDU 500
LLRC,1245290,OUT,3/15/2022 12:19,Peer-Tutor Math Tutor: EDU 500
LLRC,1245290,IN,3/16/2022 9:59,Peer-Tutor Math Tutor: EDU 500
LLRC,1245290,OUT,3/16/2022 10:50,Peer-Tutor Math Tutor: EDU 500
LLRC,1171002,IN,3/21/2022 15:00,Peer-Tutor Math Tutor: EDU 500
LLRC,1171002,OUT,3/21/2022 16:46,Peer-Tutor Math Tutor: EDU 500
LLRC,1248318,IN,3/9/2022 14:34,Student Computers
LLRC,1248318,OUT,3/9/2022 16:46,Student Computers
LLRC,1248318,IN,3/10/2022 15:33,Student Computers
LLRC,1248318,OUT,3/10/2022 15:33,Student Computers
LLRC,1248318,IN,3/11/2022 10:06,Student Computers
LLRC,1248318,OUT,3/11/2022 12:36,Student Computers
LLRC,1248318,IN,3/16/2022 10:15,Student Computers
LLRC,1248318,OUT,3/16/2022 15:31,Student Computers
LLRC,1248318,IN,3/17/2022 11:01,Student Computers
LLRC,1248318,OUT,3/17/2022 15:36,Student Computers
LLRC,1248318,IN,3/23/2022 15:21,Student Computers
LLRC,1248318,OUT,3/23/2022 15:21,Student Computers
LLRC,1248318,IN,3/24/2022 9:46,Student Computers
LLRC,1248318,OUT,3/24/2022 14:20,Student Computers
LLRC,1181349,IN,3/15/2022 12:29,Study Room
LLRC,1181349,OUT,3/15/2022 12:58,Study Room
LLRC,1113203,IN,3/16/2022 15:31,Study Room
LLRC,1181349,IN,3/18/2022 9:08,Study Room
LLRC,1181349,OUT,3/18/2022 11:03,Study Room
LLRC,1112257,IN,3/21/2022 15:20,Study Room
LLRC,1112257,OUT,3/21/2022 16:06,Study Room
LLRC,1175765,IN,3/22/2022 8:51,Study Room
LLRC,1175765,OUT,3/22/2022 9:34,Study Room
LLRC,1248318,IN,3/22/2022 12:29,Study Room
LLRC,1181349,IN,3/22/2022 12:37,Study Room
LLRC,1181349,OUT,3/22/2022 13:07,Study Room
LLRC,1248318,OUT,3/22/2022 13:33,Study Room
LLRC,1248318,IN,3/25/2022 9:32,Study Room
LLRC,1112257,IN,3/30/2022 14:04,Study Room
