Location,SID,in_out,Timestamp,Program
LLRC,1057989,IN,2022-03-07 10:45:54,Math Lab: 540
LLRC,1243215,IN,2022-03-07 10:54:15,Math Lab: 540
LLRC,1057989,OUT,2022-03-07 12:04:53,Math Lab: 540
LLRC,1240147,IN,2022-03-07 12:15:10,Math Lab: 540
LLRC,1240147,OUT,2022-03-07 14:29:24,Math Lab: 540
LLRC,1112257,IN,2022-03-07 15:10:09,Math Lab: 540
LLRC,1112257,IN,2022-03-07 18:05:27,Math Lab: 540
LLRC,1243719,IN,2022-03-08 11:20:52,Math Lab: 540
LLRC,1243719,OUT,2022-03-08 12:26:34,Math Lab: 540
LLRC,1248323,IN,2022-03-08 12:29:09,Math Lab: 540
LLRC,1174499,IN,2022-03-08 12:46:25,Math Lab: 540
LLRC,1162967,IN,2022-03-08 13:33:52,Math Lab: 540
LLRC,1174499,OUT,2022-03-08 14:52:58,Math Lab: 540
LLRC,1248323,OUT,2022-03-08 15:17:20,Math Lab: 540
LLRC,1057989,IN,2022-03-09 10:30:22,Math Lab: 540
LLRC,1174472,IN,2022-03-09 11:31:03,Math Lab: 540
LLRC,1057989,OUT,2022-03-09 11:42:57,Math Lab: 540
LLRC,1243215,IN,2022-03-09 11:50:27,Math Lab: 540
LLRC,1245290,IN,2022-03-09 11:52:41,Peer-Tutor Math Tutor: EDU 500
LLRC,1240147,IN,2022-03-09 12:03:49,Math Lab: 540
LLRC,1043076,IN,2022-03-09 12:17:44,Math Lab: 540
LLRC,1240147,OUT,2022-03-09 12:21:00,Math Lab: 540
LLRC,1083710,IN,2022-03-09 12:48:04,Math Lab: 540
LLRC,1057989,IN,2022-03-09 13:12:42,Math Lab: 540
LLRC,1043076,OUT,2022-03-09 13:23:08,Math Lab: 540
LLRC,1083710,OUT,2022-03-09 13:25:31,Math Lab: 540
LLRC,1162967,IN,2022-03-09 13:29:14,Math Lab: 540
LLRC,1243880,IN,2022-03-09 13:35:34,Math Lab: 540
LLRC,1057989,OUT,2022-03-09 14:11:46,Math Lab: 540
LLRC,1243880,OUT,2022-03-09 14:13:38,Math Lab: 540
LLRC,1248318,IN,2022-03-09 14:34:56,Student Computers
LLRC,1248323,IN,2022-03-09 15:23:40,Math Lab: 540
LLRC,1083710,IN,2022-03-09 15:59:09,Math Lab: 540
