Location,SID,in_out,Timestamp,Program
LLRC,1243719,IN,2022-02-15 10:26:17,Math Lab: 540
LLRC,1245824,IN,2022-02-15 10:26:46,Math Lab: 540
LLRC,1083710,OUT,2022-02-15 10:32:17,Math Lab: 540
LLRC,1057989,OUT,2022-02-15 11:00:58,Math Lab: 540
LLRC,1245824,OUT,2022-02-15 11:16:09,Math Lab: 540
LLRC,1243719,OUT,2022-02-15 11:41:23,Math Lab: 540
LLRC,1057989,IN,2022-02-15 13:44:34,Math Lab: 540
LLRC,1248318,IN,2022-02-15 13:56:20,Student Computers
LLRC,1174351,IN,2022-02-15 14:19:41,Study Room
LLRC,1057989,OUT,2022-02-15 14:52:03,Math Lab: 540
LLRC,1057989,IN,2022-02-15 15:01:13,Math Lab: 540
LLRC,1057989,OUT,2022-02-15 15:01:48,Math Lab: 540
LLRC,1174351,OUT,2022-02-15 15:09:43,Study Room
LLRC,1248318,OUT,2022-02-15 16:01:24,Student Computers
LLRC,1043076,IN,2022-02-16 09:00:14,Math Lab: 540
LLRC,1243719,IN,2022-02-16 10:25:15,Math Lab: 540
LLRC,1240147,IN,2022-02-16 10:39:51,Math Lab: 540
LLRC,1179700,IN,2022-02-16 10:40:11,Math Lab: 540
LLRC,1179700,OUT,2022-02-16 11:01:25,Math Lab: 540
LLRC,1083710,IN,2022-02-16 11:14:47,Math Lab: 540
LLRC,1243719,OUT,2022-02-16 11:15:12,Math Lab: 540
LLRC,1248318,IN,2022-02-16 12:03:31,Student Computers
LLRC,1043076,OUT,2022-02-16 12:13:12,Math Lab: 540
LLRC,1083710,OUT,2022-02-16 12:16:11,Math Lab: 540
LLRC,1240147,OUT,2022-02-16 13:19:11,Math Lab: 540
LLRC,1240147,IN,2022-02-16 14:31:20,Math Lab: 540
LLRC,1240147,OUT,2022-02-16 15:43:53,Math Lab: 540
LLRC,1248318,IN,2022-02-17 09:39:28,Student Computers
LLRC,1248323,IN,2022-02-17 11:29:10,Math Lab: 540
LLRC,1248318,OUT,2022-02-17 15:12:01,Student Computers
LLRC,1248318,IN,2022-02-22 08:29:17,Student Computers
LLRC,1043076,IN,2022-02-22 08:40:34,Math Lab: 540
LLRC,1057989,IN,2022-02-22 09:33:10,Math Lab: 540
LLRC,1243880,IN,2022-02-22 10:16:37,Math Lab: 540
LLRC,1243719,IN,2022-02-22 10:17:13,Math Lab: 540
LLRC,1181349,IN,2022-02-22 10:20:21,Study Room
LLRC,1043076,OUT,2022-02-22 10:42:06,Math Lab: 540
LLRC,1181349,OUT,2022-02-22 10:50:18,Study Room
LLRC,1243719,OUT,2022-02-22 10:59:40,Math Lab: 540
LLRC,1057989,OUT,2022-02-22 11:23:23,Math Lab: 540
LLRC,1248318,OUT,2022-02-22 12:07:22,Student Computers
LLRC,1172312,IN,2022-02-22 12:26:14,Math Lab: 540
LLRC,1118812,IN,2022-02-22 12:32:06,Math Lab: 540
LLRC,1249248,IN,2022-02-22 12:37:30,Math Lab: 540
LLRC,1243880,OUT,2022-02-22 12:42:31,Math Lab: 540
LLRC,1248318,IN,2022-02-22 12:53:43,Study Room
LLRC,1172312,OUT,2022-02-22 13:25:27,Math Lab: 540
LLRC,1249248,OUT,2022-02-22 13:27:06,Math Lab: 540
LLRC,1057989,IN,2022-02-22 13:42:22,Math Lab: 540
LLRC,1057989,OUT,2022-02-22 15:14:34,Math Lab: 540
LLRC,1248318,OUT,2022-02-22 15:21:42,Study Room
LLRC,1243719,IN,2022-02-23 10:23:11,Math Lab: 540
LLRC,1248318,IN,2022-02-23 10:29:37,Student Computers
LLRC,1243719,OUT,2022-02-23 10:58:55,Math Lab: 540
LLRC,1240147,IN,2022-02-23 11:04:36,Math Lab: 540
LLRC,1118812,IN,2022-02-23 11:04:55,Math Lab: 540
LLRC,1043076,IN,2022-02-23 11:06:16,Math Lab: 540
LLRC,1243880,IN,2022-02-23 12:16:09,Math Lab: 540
LLRC,1043076,OUT,2022-02-23 12:18:44,Math Lab: 540
LLRC,1243880,OUT,2022-02-23 13:28:46,Math Lab: 540
LLRC,1240147,OUT,2022-02-23 14:26:59,Math Lab: 540
LLRC,1118812,OUT,2022-02-23 14:28:01,Math Lab: 540
LLRC,1248318,OUT,2022-02-23 15:57:38,Student Computers
LLRC,1057989,IN,2022-02-24 10:20:45,Math Lab: 540
LLRC,1243719,IN,2022-02-24 10:29:31,Math Lab: 540
LLRC,1248318,IN,2022-02-24 10:30:25,Student Computers
LLRC,1057989,OUT,2022-02-24 11:45:17,Math Lab: 540
LLRC,1243719,OUT,2022-02-24 12:01:07,Math Lab: 540
LLRC,1118812,IN,2022-02-24 12:53:06,Math Lab: 540
LLRC,1172305,IN,2022-02-24 13:54:49,Peer-Tutor Math Tutor: EDU 500
LLRC,1057989,IN,2022-02-24 14:53:44,Math Lab: 540
LLRC,1248318,OUT,2022-02-24 15:22:17,Student Computers
LLRC,1057989,OUT,2022-02-24 16:09:05,Math Lab: 540
LLRC,1248318,IN,2022-02-25 08:52:16,Student Computers
LLRC,1181349,IN,2022-02-25 09:03:24,Study Room
LLRC,1181349,OUT,2022-02-25 10:49:36,Study Room
LLRC,1248318,OUT,2022-02-25 10:53:53,Student Computers
LLRC,1057989,IN,2022-02-28 09:27:15,Math Lab: 540
LLRC,1174499,IN,2022-02-28 09:58:15,Math Lab: 540
LLRC,1057989,OUT,2022-02-28 11:02:31,Math Lab: 540
LLRC,1174499,OUT,2022-02-28 12:29:47,Math Lab: 540
